pattern,membership_queries,equivalence_queries
((a|a)((b*)b)),39,3
((a|b)(a(a*))),39,3
((a|b)(a(b*))),39,3
((a|b)(b(a*))),45,3
((a|b)(b(b*))),45,3
((a|b)((a*)a)),39,3
((a|b)((a*)b)),51,3
((a|b)((b*)a)),51,3
((a|b)((b*)b)),45,3
((b|a)(a(a*))),39,3
((b|a)(a(b*))),39,3
((b|a)(b(a*))),45,3
((b|a)(b(b*))),45,3
((b|a)((a*)a)),39,3
((b|a)((a*)b)),51,3
((b|a)((b*)a)),51,3
((b|a)((b*)b)),45,3
((b|b)(a(a*))),39,3
((b|b)(a(b*))),39,3
((b|b)(b(a*))),39,3
((b|b)(b(b*))),39,3
((b|b)((a*)a)),39,3
((b|b)((a*)b)),39,3
((b|b)((b*)a)),39,3
((b|b)((b*)b)),39,3
(a((a|a)(a*))),39,3
(a((a|a)(b*))),39,3
(a((a|b)(a*))),39,3
(a((a|b)(b*))),39,3
(a((b|a)(a*))),39,3
(a((b|a)(b*))),39,3
(a((b|b)(a*))),39,3
(a((b|b)(b*))),39,3
(a(a((a|a)*))),39,3
(a(a((a|b)*))),39,3
(a(a((b|a)*))),39,3
(a(a((b|b)*))),39,3
(a(b((a|a)*))),39,3
(a(b((a|b)*))),39,3
(a(b((b|a)*))),39,3
(a(b((b|b)*))),39,3
(a(((a|a)*)a)),39,3
(a(((a|a)*)b)),39,3
(a(((a|b)*)a)),39,3
(a(((a|b)*)b)),39,3
(a(((b|a)*)a)),39,3
(a(((b|a)*)b)),39,3
(a(((b|b)*)a)),39,3
(a(((b|b)*)b)),39,3
(a((a*)(a|a))),39,3
(a((a*)(a|b))),45,3
(a((a*)(b|a))),45,3
(a((a*)(b|b))),39,3
(a((b*)(a|a))),39,3
(a((b*)(a|b))),45,3
(a((b*)(b|a))),45,3
(a((b*)(b|b))),39,3
(a(a(a(a*)))),68,3
(a(a(a(b*)))),68,3
(a(a(b(a*)))),68,3
(a(a(b(b*)))),68,3
(a(a((a*)a))),68,3
(a(a((a*)b))),68,3
(a(a((b*)a))),68,3
(a(a((b*)b))),68,3
(a(b(a(a*)))),68,3
(a(b(a(b*)))),68,3
(a(b(b(a*)))),68,3
(a(b(b(b*)))),68,3
(a(b((a*)a))),68,3
(a(b((a*)b))),68,3
(a(b((b*)a))),68,3
(a(b((b*)b))),68,3
(a((a*)(aa))),68,3
(a((a*)(ab))),68,3
(a((a*)(ba))),68,3
(a((a*)(bb))),68,3
(a((b*)(aa))),68,3
(a((b*)(ab))),68,3
(a((b*)(ba))),68,3
(a((b*)(bb))),68,3
(b((a|a)(a*))),39,3
(b((a|a)(b*))),39,3
(b((a|b)(a*))),39,3
(b((a|b)(b*))),39,3
(b((b|a)(a*))),39,3
(b((b|a)(b*))),39,3
(b((b|b)(a*))),39,3
(b((b|b)(b*))),39,3
(b(a((a|a)*))),39,3
(b(a((a|b)*))),39,3
(b(a((b|a)*))),39,3
(b(a((b|b)*))),39,3
(b(b((a|a)*))),39,3
(b(b((a|b)*))),39,3
(b(b((b|a)*))),39,3
(b(b((b|b)*))),39,3
(b(((a|a)*)a)),39,3
(b(((a|a)*)b)),39,3
(b(((a|b)*)a)),39,3
(b(((a|b)*)b)),39,3
(b(((b|a)*)a)),39,3
(b(((b|a)*)b)),39,3
(b(((b|b)*)a)),39,3
(b(((b|b)*)b)),39,3
(b((a*)(a|a))),39,3
(b((a*)(a|b))),45,3
(b((a*)(b|a))),45,3
(b((a*)(b|b))),39,3
(b((b*)(a|a))),39,3
(b((b*)(a|b))),45,3
(b((b*)(b|a))),45,3
(b((b*)(b|b))),39,3
(b(a(a(a*)))),68,3
(b(a(a(b*)))),68,3
(b(a(b(a*)))),68,3
(b(a(b(b*)))),68,3
(b(a((a*)a))),68,3
(b(a((a*)b))),68,3
(b(a((b*)a))),68,3
(b(a((b*)b))),68,3
(b(b(a(a*)))),68,3
(b(b(a(b*)))),68,3
(b(b(b(a*)))),68,3
(b(b(b(b*)))),68,3
(b(b((a*)a))),68,3
(b(b((a*)b))),68,3
(b(b((b*)a))),68,3
(b(b((b*)b))),68,3
(b((a*)(aa))),68,3
(b((a*)(ab))),68,3
(b((a*)(ba))),68,3
(b((a*)(bb))),68,3
(b((b*)(aa))),68,3
(b((b*)(ab))),68,3
(b((b*)(ba))),68,3
(b((b*)(bb))),68,3
(((a|a)*)(aa)),39,3
(((a|a)*)(ab)),39,3
(((a|a)*)(ba)),39,3
(((a|a)*)(bb)),39,3
(((a|b)*)(aa)),14,2
(((a|b)*)(ab)),14,2
(((a|b)*)(ba)),14,2
(((a|b)*)(bb)),14,2
(((b|a)*)(aa)),14,2
(((b|a)*)(ab)),14,2
(((b|a)*)(ba)),14,2
(((b|a)*)(bb)),14,2
(((b|b)*)(aa)),39,3
(((b|b)*)(ab)),39,3
(((b|b)*)(ba)),39,3
(((b|b)*)(bb)),39,3
((a*)((a|a)a)),39,3
((a*)((a|a)b)),39,3
((a*)((a|b)a)),45,3
((a*)((a|b)b)),45,3
((a*)((b|a)a)),45,3
((a*)((b|a)b)),45,3
((a*)((b|b)a)),39,3
((a*)((b|b)b)),39,3
((a*)(a(a|a))),39,3
((a*)(a(a|b))),45,3
((a*)(a(b|a))),45,3
((a*)(a(b|b))),39,3
((a*)(b(a|a))),39,3
((a*)(b(a|b))),39,3
((a*)(b(b|a))),39,3
((a*)(b(b|b))),39,3
((a*)(a(aa))),68,3
((a*)(a(ab))),68,3
((a*)(a(ba))),68,3
((a*)(a(bb))),68,3
((a*)(b(aa))),68,3
((a*)(b(ab))),68,3
((a*)(b(ba))),68,3
((a*)(b(bb))),68,3
((b*)((a|a)a)),39,3
((b*)((a|a)b)),39,3
((b*)((a|b)a)),45,3
((b*)((a|b)b)),39,3
((b*)((b|a)a)),45,3
((b*)((b|a)b)),39,3
((b*)((b|b)a)),39,3
((b*)((b|b)b)),39,3
((b*)(a(a|a))),39,3
((b*)(a(a|b))),45,3
((b*)(a(b|a))),45,3
((b*)(a(b|b))),39,3
((b*)(b(a|a))),39,3
((b*)(b(a|b))),45,3
((b*)(b(b|a))),45,3
((b*)(b(b|b))),39,3
((b*)(a(aa))),68,3
((b*)(a(ab))),68,3
((b*)(a(ba))),68,3
((b*)(a(bb))),68,3
((b*)(b(aa))),68,3
((b*)(b(ab))),68,3
((b*)(b(ba))),68,3
((b*)(b(bb))),68,3
((a|(a|(a|(a*))))*),5,1
((a|(a|(a|(b*))))*),3,1
((a|(a|(b|(a*))))*),3,1
((a|(a|(b|(b*))))*),3,1
((a|(a|(aa)))*),5,1
((a|(a|(ab)))*),18,2
((a|(a|(ba)))*),18,2
((a|(a|(bb)))*),18,2
((a|(b|(a|(a*))))*),3,1
((a|(b|(a|(b*))))*),3,1
((a|(b|(b|(a*))))*),3,1
((a|(b|(b|(b*))))*),3,1
((a|(b|(aa)))*),3,1
((a|(b|(ab)))*),3,1
((a|(b|(ba)))*),3,1
((a|(b|(bb)))*),3,1
((a|((a*)(a*)))*),5,1
((a|((a*)(b*)))*),3,1
((a|((b*)(a*)))*),3,1
((a|((b*)(b*)))*),3,1
((a|((aa)*))*),5,1
((a|((ab)*))*),18,2
((a|((ba)*))*),18,2
((a|((bb)*))*),18,2
((b|(a|(a|(a*))))*),3,1
((b|(a|(a|(b*))))*),3,1
((b|(a|(b|(a*))))*),3,1
((b|(a|(b|(b*))))*),3,1
((b|(a|(aa)))*),3,1
((b|(a|(ab)))*),3,1
((b|(a|(ba)))*),3,1
((b|(a|(bb)))*),3,1
((b|(b|(a|(a*))))*),3,1
((b|(b|(a|(b*))))*),3,1
((b|(b|(b|(a*))))*),3,1
((b|(b|(b|(b*))))*),5,1
((b|(b|(aa)))*),18,2
((b|(b|(ab)))*),18,2
((b|(b|(ba)))*),18,2
((b|(b|(bb)))*),5,1
((b|((a*)(a*)))*),3,1
((b|((a*)(b*)))*),3,1
((b|((b*)(a*)))*),3,1
((b|((b*)(b*)))*),5,1
((b|((aa)*))*),18,2
((b|((ab)*))*),18,2
((b|((ba)*))*),18,2
((b|((bb)*))*),5,1
(((a(a*))|(a*))*),5,1
(((a(a*))|(b*))*),3,1
(((a(b*))|(a*))*),26,2
(((a(b*))|(b*))*),3,1
(((b(a*))|(a*))*),3,1
(((b(a*))|(b*))*),18,2
(((b(b*))|(a*))*),3,1
(((b(b*))|(b*))*),5,1
((((a*)a)|(a*))*),5,1
((((a*)a)|(b*))*),3,1
((((a*)b)|(a*))*),3,1
((((a*)b)|(b*))*),5,1
((((b*)a)|(a*))*),5,1
((((b*)a)|(b*))*),3,1
((((b*)b)|(a*))*),3,1
((((b*)b)|(b*))*),5,1
((((a|(a|a))*)|(a*))*),5,1
((((a|(a|a))*)|(b*))*),3,1
((((a|(a|b))*)|(a*))*),3,1
((((a|(a|b))*)|(b*))*),3,1
((((a|(b|a))*)|(a*))*),3,1
((((a|(b|a))*)|(b*))*),3,1
((((a|(b|b))*)|(a*))*),3,1
((((a|(b|b))*)|(b*))*),3,1
((((b|(a|a))*)|(a*))*),3,1
((((b|(a|a))*)|(b*))*),3,1
((((b|(a|b))*)|(a*))*),3,1
((((b|(a|b))*)|(b*))*),3,1
((((b|(b|a))*)|(a*))*),3,1
((((b|(b|a))*)|(b*))*),3,1
((((b|(b|b))*)|(a*))*),3,1
((((b|(b|b))*)|(b*))*),5,1
(((((a*)|(a*))*)|(a*))*),5,1
(((((a*)|(a*))*)|(b*))*),3,1
(((((a*)|(b*))*)|(a*))*),3,1
(((((a*)|(b*))*)|(b*))*),3,1
(((((b*)|(a*))*)|(a*))*),3,1
(((((b*)|(a*))*)|(b*))*),3,1
(((((b*)|(b*))*)|(a*))*),3,1
(((((b*)|(b*))*)|(b*))*),5,1
(((a*)|((a|(a|a))*))*),5,1
(((a*)|((a|(a|b))*))*),3,1
(((a*)|((a|(b|a))*))*),3,1
(((a*)|((a|(b|b))*))*),3,1
(((a*)|((b|(a|a))*))*),3,1
(((a*)|((b|(a|b))*))*),3,1
(((a*)|((b|(b|a))*))*),3,1
(((a*)|((b|(b|b))*))*),3,1
(((a*)|(((a*)|(a*))*))*),5,1
(((a*)|(((a*)|(b*))*))*),3,1
(((a*)|(((b*)|(a*))*))*),3,1
(((a*)|(((b*)|(b*))*))*),3,1
(((a*)|((a(a*))*))*),5,1
(((a*)|((a(b*))*))*),26,2
(((a*)|((b(a*))*))*),3,1
(((a*)|((b(b*))*))*),3,1
(((a*)|(((a*)a)*))*),5,1
(((a*)|(((a*)b)*))*),3,1
(((a*)|(((b*)a)*))*),5,1
(((a*)|(((b*)b)*))*),3,1
(((b*)|((a|(a|a))*))*),3,1
(((b*)|((a|(a|b))*))*),3,1
(((b*)|((a|(b|a))*))*),3,1
(((b*)|((a|(b|b))*))*),3,1
(((b*)|((b|(a|a))*))*),3,1
(((b*)|((b|(a|b))*))*),3,1
(((b*)|((b|(b|a))*))*),3,1
(((b*)|((b|(b|b))*))*),5,1
(((b*)|(((a*)|(a*))*))*),3,1
(((b*)|(((a*)|(b*))*))*),3,1
(((b*)|(((b*)|(a*))*))*),3,1
(((b*)|(((b*)|(b*))*))*),5,1
(((b*)|((a(a*))*))*),3,1
(((b*)|((a(b*))*))*),3,1
(((b*)|((b(a*))*))*),22,2
(((b*)|((b(b*))*))*),5,1
(((b*)|(((a*)a)*))*),3,1
(((b*)|(((a*)b)*))*),5,1
(((b*)|(((b*)a)*))*),3,1
(((b*)|(((b*)b)*))*),5,1
((((a(a*))*)|(a*))*),5,1
((((a(a*))*)|(b*))*),3,1
((((a(b*))*)|(a*))*),18,2
((((a(b*))*)|(b*))*),3,1
((((b(a*))*)|(a*))*),3,1
((((b(a*))*)|(b*))*),26,2
((((b(b*))*)|(a*))*),3,1
((((b(b*))*)|(b*))*),5,1
(((((a*)a)*)|(a*))*),5,1
(((((a*)a)*)|(b*))*),3,1
(((((a*)b)*)|(a*))*),3,1
(((((a*)b)*)|(b*))*),5,1
(((((b*)a)*)|(a*))*),5,1
(((((b*)a)*)|(b*))*),3,1
(((((b*)b)*)|(a*))*),3,1
(((((b*)b)*)|(b*))*),5,1
(((a|a)(a|a))*),18,2
(((a|a)(a|b))*),18,2
(((a|a)(b|a))*),18,2
(((a|a)(b|b))*),18,2
(((a|b)(a|a))*),22,2
(((a|b)(a|b))*),5,1
(((a|b)(b|a))*),5,1
(((a|b)(b|b))*),22,2
(((a|(a|a))(a*))*),5,1
(((a|(a|a))(b*))*),18,2
(((a|(a|b))(a*))*),3,1
(((a|(a|b))(b*))*),3,1
(((a|(b|a))(a*))*),3,1
(((a|(b|a))(b*))*),3,1
(((a|(b|b))(a*))*),3,1
(((a|(b|b))(b*))*),3,1
(((a|(a*))a)*),5,1
(((a|(a*))b)*),5,1
(((a|(b*))a)*),5,1
(((a|(b*))b)*),18,2
(((b|a)(a|a))*),22,2
(((b|a)(a|b))*),5,1
(((b|a)(b|a))*),5,1
(((b|a)(b|b))*),22,2
(((b|(a|a))(a*))*),3,1
(((b|(a|a))(b*))*),3,1
(((b|(a|b))(a*))*),3,1
(((b|(a|b))(b*))*),3,1
(((b|(b|a))(a*))*),3,1
(((b|(b|a))(b*))*),3,1
(((b|(b|b))(a*))*),18,2
(((b|(b|b))(b*))*),5,1
(((b|(a*))a)*),18,2
(((b|(a*))b)*),5,1
(((b|(b*))a)*),5,1
(((b|(b*))b)*),5,1
((((a*)|(a*))(a*))*),5,1
((((a*)|(a*))(b*))*),3,1
((((a*)|(b*))(a*))*),3,1
((((a*)|(b*))(b*))*),3,1
((((b*)|(a*))(a*))*),3,1
((((b*)|(a*))(b*))*),3,1
((((b*)|(b*))(a*))*),3,1
((((b*)|(b*))(b*))*),5,1
((a(a|(a*)))*),5,1
((a(a|(b*)))*),18,2
((a(b|(a*)))*),18,2
((a(b|(b*)))*),18,2
((a((a|(a|a))*))*),5,1
((a((a|(a|b))*))*),18,2
((a((a|(b|a))*))*),18,2
((a((a|(b|b))*))*),18,2
((a((b|(a|a))*))*),18,2
((a((b|(a|b))*))*),18,2
((a((b|(b|a))*))*),18,2
((a((b|(b|b))*))*),18,2
((a((a(a*))*))*),5,1
((a((a(b*))*))*),33,2
((a((b(a*))*))*),18,2
((a((b(b*))*))*),18,2
((a(((a*)a)*))*),5,1
((a(((a*)b)*))*),18,2
((a(((b*)a)*))*),33,2
((a(((b*)b)*))*),18,2
((b(a|(a*)))*),18,2
((b(a|(b*)))*),18,2
((b(b|(a*)))*),18,2
((b(b|(b*)))*),5,1
((b((a|(a|a))*))*),18,2
((b((a|(a|b))*))*),18,2
((b((a|(b|a))*))*),18,2
((b((a|(b|b))*))*),18,2
((b((b|(a|a))*))*),18,2
((b((b|(a|b))*))*),18,2
((b((b|(b|a))*))*),18,2
((b((b|(b|b))*))*),5,1
((b((a(a*))*))*),18,2
((b((a(b*))*))*),18,2
((b((b(a*))*))*),33,2
((b((b(b*))*))*),5,1
((b(((a*)a)*))*),18,2
((b(((a*)b)*))*),33,2
((b(((b*)a)*))*),18,2
((b(((b*)b)*))*),5,1
((((a|(a|a))*)a)*),5,1
((((a|(a|a))*)b)*),5,1
((((a|(a|b))*)a)*),5,1
((((a|(a|b))*)b)*),5,1
((((a|(b|a))*)a)*),5,1
((((a|(b|a))*)b)*),5,1
((((a|(b|b))*)a)*),5,1
((((a|(b|b))*)b)*),5,1
((((b|(a|a))*)a)*),5,1
((((b|(a|a))*)b)*),5,1
((((b|(a|b))*)a)*),5,1
((((b|(a|b))*)b)*),5,1
((((b|(b|a))*)a)*),5,1
((((b|(b|a))*)b)*),5,1
((((b|(b|b))*)a)*),5,1
((((b|(b|b))*)b)*),5,1
(((a*)(a|(a|a)))*),5,1
(((a*)(a|(a|b)))*),3,1
(((a*)(a|(b|a)))*),3,1
(((a*)(a|(b|b)))*),3,1
(((a*)(b|(a|a)))*),3,1
(((a*)(b|(a|b)))*),3,1
(((a*)(b|(b|a)))*),3,1
(((a*)(b|(b|b)))*),5,1
(((a*)((a*)|(a*)))*),5,1
(((a*)((a*)|(b*)))*),3,1
(((a*)((b*)|(a*)))*),3,1
(((a*)((b*)|(b*)))*),3,1
(((a*)((aa)*))*),5,1
(((a*)((ab)*))*),18,2
(((a*)((ba)*))*),18,2
(((a*)((bb)*))*),18,2
(((b*)(a|(a|a)))*),5,1
(((b*)(a|(a|b)))*),3,1
(((b*)(a|(b|a)))*),3,1
(((b*)(a|(b|b)))*),3,1
(((b*)(b|(a|a)))*),3,1
(((b*)(b|(a|b)))*),3,1
(((b*)(b|(b|a)))*),3,1
(((b*)(b|(b|b)))*),5,1
(((b*)((a*)|(a*)))*),3,1
(((b*)((a*)|(b*)))*),3,1
(((b*)((b*)|(a*)))*),3,1
(((b*)((b*)|(b*)))*),5,1
(((b*)((aa)*))*),18,2
(((b*)((ab)*))*),18,2
(((b*)((ba)*))*),18,2
(((b*)((bb)*))*),5,1
((((aa)*)(a*))*),5,1
((((aa)*)(b*))*),18,2
((((ab)*)(a*))*),18,2
((((ab)*)(b*))*),18,2
((((a(a*))*)a)*),5,1
((((a(a*))*)b)*),5,1
((((a(b*))*)a)*),33,2
((((a(b*))*)b)*),5,1
((((ba)*)(a*))*),18,2
((((ba)*)(b*))*),18,2
((((bb)*)(a*))*),18,2
((((bb)*)(b*))*),5,1
((((b(a*))*)a)*),5,1
((((b(a*))*)b)*),33,2
((((b(b*))*)a)*),5,1
((((b(b*))*)b)*),5,1
(((((a*)a)*)a)*),5,1
(((((a*)a)*)b)*),5,1
(((((a*)b)*)a)*),5,1
(((((a*)b)*)b)*),18,2
(((((b*)a)*)a)*),18,2
(((((b*)a)*)b)*),5,1
(((((b*)b)*)a)*),5,1
(((((b*)b)*)b)*),5,1
(((a*)((a*)(a*)))*),5,1
(((a*)((a*)(b*)))*),3,1
(((a*)((b*)(a*)))*),3,1
(((a*)((b*)(b*)))*),3,1
(((b*)((a*)(a*)))*),3,1
(((b*)((a*)(b*)))*),3,1
(((b*)((b*)(a*)))*),3,1
(((b*)((b*)(b*)))*),5,1
(a|(a|(a|(a|(a*))))),5,1
(a|(a|(a|(a|(b*))))),33,3
(a|(a|(a|(b|(a*))))),33,3
(a|(a|(a|(b|(b*))))),33,3
(a|(a|(a|(aa)))),22,2
(a|(a|(a|(ab)))),39,3
(a|(a|(a|(ba)))),33,2
(a|(a|(a|(bb)))),39,3
(a|(a|(b|(a|(a*))))),33,3
(a|(a|(b|(a|(b*))))),33,3
(a|(a|(b|(b|(a*))))),33,3
(a|(a|(b|(b|(b*))))),33,3
(a|(a|(b|(aa)))),18,2
(a|(a|(b|(ab)))),27,2
(a|(a|(b|(ba)))),22,2
(a|(a|(b|(bb)))),22,2
(a|(a|((a*)(a*)))),5,1
(a|(a|((a*)(b*)))),14,2
(a|(a|((b*)(a*)))),14,2
(a|(a|((b*)(b*)))),33,3
(a|(a|((aa)*))),33,2
(a|(a|((ab)*))),33,2
(a|(a|((ba)*))),45,3
(a|(a|((bb)*))),60,3
(a|(b|(a|(a|(a*))))),33,3
(a|(b|(a|(a|(b*))))),33,3
(a|(b|(a|(b|(a*))))),33,3
(a|(b|(a|(b|(b*))))),33,3
(a|(b|(a|(aa)))),18,2
(a|(b|(a|(ab)))),27,2
(a|(b|(a|(ba)))),22,2
(a|(b|(a|(bb)))),22,2
(a|(b|(b|(a|(a*))))),33,3
(a|(b|(b|(a|(b*))))),33,3
(a|(b|(b|(b|(a*))))),33,3
(a|(b|(b|(b|(b*))))),33,3
(a|(b|(b|(aa)))),18,2
(a|(b|(b|(ab)))),27,2
(a|(b|(b|(ba)))),22,2
(a|(b|(b|(bb)))),22,2
(a|(b|((a*)(a*)))),33,3
(a|(b|((a*)(b*)))),14,2
(a|(b|((b*)(a*)))),14,2
(a|(b|((b*)(b*)))),33,3
(a|(b|((aa)*))),45,3
(a|(b|((ab)*))),52,3
(a|(b|((ba)*))),68,4
(a|(b|((bb)*))),52,3
(a|((a|a)(a*))),18,2
(a|((a|a)(b*))),18,2
(a|((a|b)(a*))),18,2
(a|((a|b)(b*))),18,2
(a|((b|a)(a*))),18,2
(a|((b|a)(b*))),18,2
(a|((b|b)(a*))),22,2
(a|((b|b)(b*))),22,2
(a|(a((a|a)*))),18,2
(a|(a((a|b)*))),18,2
(a|(a((b|a)*))),18,2
(a|(a((b|b)*))),18,2
(a|(b((a|a)*))),22,2
(a|(b((a|b)*))),22,2
(a|(b((b|a)*))),22,2
(a|(b((b|b)*))),22,2
(a|(((a|a)*)a)),18,2
(a|(((a|a)*)b)),33,2
(a|(((a|b)*)a)),5,1
(a|(((a|b)*)b)),18,2
(a|(((b|a)*)a)),5,1
(a|(((b|a)*)b)),18,2
(a|(((b|b)*)a)),18,2
(a|(((b|b)*)b)),22,2
(a|((a*)(a|a))),18,2
(a|((a*)(a|b))),18,2
(a|((a*)(b|a))),18,2
(a|((a*)(b|b))),33,2
(a|((b*)(a|a))),18,2
(a|((b*)(a|b))),22,2
(a|((b*)(b|a))),22,2
(a|((b*)(b|b))),22,2
(a|(a(a(a*)))),18,2
(a|(a(a(b*)))),22,2
(a|(a(b(a*)))),22,2
(a|(a(b(b*)))),18,2
(a|(a((a*)a))),18,2
(a|(a((a*)b))),39,3
(a|(a((b*)a))),51,3
(a|(a((b*)b))),18,2
(a|(b(a(a*)))),39,2
(a|(b(a(b*)))),60,3
(a|(b(b(a*)))),39,3
(a|(b(b(b*)))),33,2
(a|(b((a*)a))),39,2
(a|(b((a*)b))),39,3
(a|(b((b*)a))),18,2
(a|(b((b*)b))),33,2
(a|((a*)(aa))),18,2
(a|((a*)(ab))),39,3
(a|((a*)(ba))),45,2
(a|((a*)(bb))),60,3
(a|((b*)(aa))),39,2
(a|((b*)(ab))),68,3
(a|((b*)(ba))),18,2
(a|((b*)(bb))),33,2
(a|((aa)|(a*))),5,1
(a|((aa)|(b*))),39,3
(a|((ab)|(a*))),60,3
(a|((ab)|(b*))),68,4
(a|((ba)|(a*))),51,3
(a|((ba)|(b*))),52,3
(a|((bb)|(a*))),60,3
(a|((bb)|(b*))),33,3
(a|((a|(a*))*)),5,1
(a|((a|(b*))*)),3,1
(a|((b|(a*))*)),3,1
(a|((b|(b*))*)),33,3
(a|(((a*)(a*))*)),5,1
(a|(((a*)(b*))*)),3,1
(a|(((b*)(a*))*)),3,1
(a|(((b*)(b*))*)),33,3
(a|((a|a)*)|(a*)),5,1
(a|((a|a)*)|(b*)),33,3
(a|((a|b)*)|(a*)),3,1
(a|((a|b)*)|(b*)),3,1
(a|((b|a)*)|(a*)),3,1
(a|((b|a)*)|(b*)),3,1
(a|((b|b)*)|(a*)),33,3
(a|((b|b)*)|(b*)),33,3
(a|(a*)|((a|a)*)),5,1
(a|(a*)|((a|b)*)),3,1
(a|(a*)|((b|a)*)),3,1
(a|(a*)|((b|b)*)),33,3
(a|(a*)|(a*)|(a*)),5,1
(a|(a*)|(a*)|(b*)),33,3
(a|(a*)|(b*)|(a*)),33,3
(a|(a*)|(b*)|(b*)),33,3
(a|(b*)|((a|a)*)),33,3
(a|(b*)|((a|b)*)),3,1
(a|(b*)|((b|a)*)),3,1
(a|(b*)|((b|b)*)),33,3
(a|(b*)|(a*)|(a*)),33,3
(a|(b*)|(a*)|(b*)),33,3
(a|(b*)|(b*)|(a*)),33,3
(a|(b*)|(b*)|(b*)),33,3
(b|(a|(a|(a|(a*))))),33,3
(b|(a|(a|(a|(b*))))),33,3
(b|(a|(a|(b|(a*))))),33,3
(b|(a|(a|(b|(b*))))),33,3
(b|(a|(a|(aa)))),18,2
(b|(a|(a|(ab)))),27,2
(b|(a|(a|(ba)))),22,2
(b|(a|(a|(bb)))),22,2
(b|(a|(b|(a|(a*))))),33,3
(b|(a|(b|(a|(b*))))),33,3
(b|(a|(b|(b|(a*))))),33,3
(b|(a|(b|(b|(b*))))),33,3
(b|(a|(b|(aa)))),18,2
(b|(a|(b|(ab)))),27,2
(b|(a|(b|(ba)))),22,2
(b|(a|(b|(bb)))),22,2
(b|(a|((a*)(a*)))),33,3
(b|(a|((a*)(b*)))),14,2
(b|(a|((b*)(a*)))),14,2
(b|(a|((b*)(b*)))),33,3
(b|(a|((aa)*))),45,3
(b|(a|((ab)*))),52,3
(b|(a|((ba)*))),68,4
(b|(a|((bb)*))),52,3
(b|(b|(a|(a|(a*))))),33,3
(b|(b|(a|(a|(b*))))),33,3
(b|(b|(a|(b|(a*))))),33,3
(b|(b|(a|(b|(b*))))),33,3
(b|(b|(a|(aa)))),18,2
(b|(b|(a|(ab)))),27,2
(b|(b|(a|(ba)))),22,2
(b|(b|(a|(bb)))),22,2
(b|(b|(b|(a|(a*))))),33,3
(b|(b|(b|(a|(b*))))),33,3
(b|(b|(b|(b|(a*))))),33,3
(b|(b|(b|(b|(b*))))),5,1
(b|(b|(b|(aa)))),39,3
(b|(b|(b|(ab)))),45,3
(b|(b|(b|(ba)))),39,3
(b|(b|(b|(bb)))),22,2
(b|(b|((a*)(a*)))),33,3
(b|(b|((a*)(b*)))),14,2
(b|(b|((b*)(a*)))),14,2
(b|(b|((b*)(b*)))),5,1
(b|(b|((aa)*))),60,3
(b|(b|((ab)*))),45,3
(b|(b|((ba)*))),33,2
(b|(b|((bb)*))),33,2
(b|((a|a)(a*))),18,2
(b|((a|a)(b*))),27,2
(b|((a|b)(a*))),18,2
(b|((a|b)(b*))),18,2
(b|((b|a)(a*))),18,2
(b|((b|a)(b*))),18,2
(b|((b|b)(a*))),18,2
(b|((b|b)(b*))),18,2
(b|(a((a|a)*))),18,2
(b|(a((a|b)*))),18,2
(b|(a((b|a)*))),18,2
(b|(a((b|b)*))),27,2
(b|(b((a|a)*))),18,2
(b|(b((a|b)*))),18,2
(b|(b((b|a)*))),18,2
(b|(b((b|b)*))),18,2
(b|(((a|a)*)a)),18,2
(b|(((a|a)*)b)),18,2
(b|(((a|b)*)a)),18,2
(b|(((a|b)*)b)),5,1
(b|(((b|a)*)a)),18,2
(b|(((b|a)*)b)),5,1
(b|(((b|b)*)a)),45,3
(b|(((b|b)*)b)),18,2
(b|((a*)(a|a))),18,2
(b|((a*)(a|b))),18,2
(b|((a*)(b|a))),18,2
(b|((a*)(b|b))),18,2
(b|((b*)(a|a))),45,3
(b|((b*)(a|b))),22,2
(b|((b*)(b|a))),22,2
(b|((b*)(b|b))),18,2
(b|(a(a(a*)))),39,3
(b|(a(a(b*)))),33,2
(b|(a(b(a*)))),60,3
(b|(a(b(b*)))),39,2
(b|(a((a*)a))),39,3
(b|(a((a*)b))),18,2
(b|(a((b*)a))),39,3
(b|(a((b*)b))),39,2
(b|(b(a(a*)))),18,2
(b|(b(a(b*)))),22,2
(b|(b(b(a*)))),22,2
(b|(b(b(b*)))),18,2
(b|(b((a*)a))),18,2
(b|(b((a*)b))),51,3
(b|(b((b*)a))),39,3
(b|(b((b*)b))),18,2
(b|((a*)(aa))),39,3
(b|((a*)(ab))),18,2
(b|((a*)(ba))),68,3
(b|((a*)(bb))),39,2
(b|((b*)(aa))),60,3
(b|((b*)(ab))),45,2
(b|((b*)(ba))),39,3
(b|((b*)(bb))),18,2
(b|((aa)|(a*))),33,3
(b|((aa)|(b*))),60,3
(b|((ab)|(a*))),52,3
(b|((ab)|(b*))),45,3
(b|((ba)|(a*))),68,4
(b|((ba)|(b*))),60,3
(b|((bb)|(a*))),39,3
(b|((bb)|(b*))),5,1
(b|((a|(a*))*)),33,3
(b|((a|(b*))*)),3,1
(b|((b|(a*))*)),3,1
(b|((b|(b*))*)),5,1
(b|(((a*)(a*))*)),33,3
(b|(((a*)(b*))*)),3,1
(b|(((b*)(a*))*)),3,1
(b|(((b*)(b*))*)),5,1
(b|((a|a)*)|(a*)),33,3
(b|((a|a)*)|(b*)),33,3
(b|((a|b)*)|(a*)),3,1
